"","X.1","X","desigcomercial","numbicicletas","numdocasvacias","time","add_data","add_hora","nrEstacao","estacao","lat","lng","TS","volume","maxBikes","nDocas","prob","retiradas","devolvidas"
"66",66,40221,"305 - Avenida da Liberdade / Rua Barata Salgueiro",8,8,"2020-10-15 12:35:06","2020-09-28","2020-10-15 11:34:57",305,"Avenida da Liberdade / Rua Barata Salgueiro",38.72228,-9.147,"2020-09-28 12:35:06",-1,10,16,62,2,-8
"67",67,40270,"420 - Av. Rovisco Pais / Av. Manuel da Maia",2,24,"2020-10-15 12:36:15","2020-09-28","2020-10-15 11:35:00",420,"Av. Rovisco Pais / Av. Manuel da Maia",38.73617,-9.13672,"2020-09-28 12:36:15",-1,16,26,62,19,-6
"68",68,40272,"449 - Av. 5 de Outubro / Rua da Cruz Vermelha",5,9,"2020-10-15 12:36:15","2020-09-28","2020-10-15 11:35:05",449,"Av. 5 de Outubro / Rua da Cruz Vermelha",38.746836,-9.150085,"2020-09-28 12:36:15",-2,13,14,93,8,-5
"69",69,40283,"110 - Rua de Moscavide",3,15,"2020-10-15 12:36:15","2020-09-28","2020-10-15 11:34:58",110,"Rua de Moscavide",38.778466,-9.097068,"2020-09-28 12:36:15",-1,13,18,72,4,-1
"70",70,40291,"473 - Av. do Brasil / Av. de Roma",6,8,"2020-10-15 12:36:15","2020-09-28","2020-10-15 11:34:58",473,"Av. do Brasil / Av. de Roma",38.75643,-9.14697,"2020-09-28 12:36:15",-3,6,14,43,8,-8
"71",71,40300,"457 - Rua Aboim Ascensão",1,9,"2020-10-15 12:36:15","2020-09-28","2020-10-15 11:35:05",457,"Rua Aboim Ascensão",38.74975,-9.14722,"2020-09-28 12:36:15",-1,7,10,70,7,-2
"72",72,40301,"481 - Campo Grande / Museu da Cidade",7,13,"2020-10-15 12:36:15","2020-09-28","2020-10-15 11:34:58",481,"Campo Grande / Museu da Cidade",38.758207,-9.156169,"2020-09-28 12:36:15",-2,17,20,85,15,-9
"73",73,40323,"114 - Via do Oriente",5,5,"2020-10-15 12:36:15","2020-09-28","2020-10-15 11:34:58",114,"Via do Oriente",38.78836,-9.09974,"2020-09-28 12:36:15",-1,7,10,70,3,-5
"74",74,40325,"483 - Rua Professor Francisco Lucas Pires ",2,14,"2020-10-15 12:36:15","2020-09-28","2020-10-15 11:34:58",483,"Rua Professor Francisco Lucas Pires ",38.75939,-9.16405,"2020-09-28 12:36:15",-2,7,16,44,6,-3
"75",75,40334,"306 - Avenida da Liberdade / Rua Alexandre Herculano",6,10,"2020-10-15 12:36:15","2020-09-28","2020-10-15 11:34:58",306,"Avenida da Liberdade / Rua Alexandre Herculano",38.72281,-9.14854,"2020-09-28 12:36:15",-1,7,16,44,2,-8
"76",76,41607,"484 - Rua Professor Vieira de Almeida",2,20,"2020-10-15 12:55:47","2020-09-28","2020-10-15 11:55:01",484,"Rua Professor Vieira de Almeida",38.76081,-9.16658,"2020-09-28 12:55:47",-1,7,22,32,5,-2
"77",77,41630,"421 - Alameda D. Afonso Henriques",1,19,"2020-10-15 12:55:47","2020-09-28","2020-10-15 11:55:01",421,"Alameda D. Afonso Henriques",38.73736,-9.13416,"2020-09-28 12:55:47",-1,19,20,95,19,-2
"78",78,41643,"472 - Rua Marquês Soveral / ES Padre António Vieira",3,11,"2020-10-15 12:55:47","2020-09-28","2020-10-15 11:55:00",472,"Rua Marquês Soveral / ES Padre António Vieira",38.75784,-9.13608,"2020-09-28 12:55:47",-1,8,14,57,3,-2
"79",79,41647,"109 - Alameda dos Oceanos / Rua Ilha dos Amores",3,11,"2020-10-15 12:55:47","2020-09-28","2020-10-15 11:55:00",109,"Alameda dos Oceanos / Rua Ilha dos Amores",38.777589,-9.094672,"2020-09-28 12:55:47",-2,14,14,100,8,-4
